COUNTY_NAME,ELEV_IN_FT,FEATURE_CLASS,FEATURE_NAME,PRIM_LAT_DEC,STATE_ALPHA,STATE_NUMERIC
Flathead,"8445",Glacier,Pumpelly Glacier,"48.5833038",MT,"30"
Flathead,"7664",Glacier,Agassiz Glacier,"48.9338961",MT,"30"
Glacier,"8169",Glacier,Ahern Glacier,"48.8426463",MT,"30"
Flathead,"6837",Glacier,Baby Glacier,"48.9053435",MT,"30"
Glacier,"7546",Glacier,Blackfoot Glacier,"48.5935447",MT,"30"
Flathead,"7910",Glacier,Boulder Glacier,"48.9569803",MT,"30"
Glacier,"7707",Glacier,Carter Glaciers,"48.8894196",MT,"30"
Glacier,"7385",Glacier,Chaney Glacier,"48.8519488",MT,"30"
Glacier,"7467",Glacier,Dixon Glacier,"48.9287947",MT,"30"
Glacier,"8179",Glacier,Gem Glacier,"48.7466428",MT,"30"
Glacier,"6739",Glacier,Grinnell Glacier,"48.7507082",MT,"30"
Flathead,"6289",Glacier,Harris Glacier,"48.9500975",MT,"30"
Flathead,"8484",Glacier,Harrison Glacier,"48.5927486",MT,"30"
Glacier,"7228",Glacier,Herbst Glacier,"48.9859493",MT,"30"
Glacier,"7132",Glacier,Hudson Glacier,"48.964657",MT,"30"
Glacier,"7526",Glacier,Ipasha Glacier,"48.8427009",MT,"30"
Glacier,"7379",Glacier,Jackson Glacier,"48.5988264",MT,"30"
Flathead,"7592",Glacier,Kintla Glacier,"48.9299871",MT,"30"
Glacier,"7169",Glacier,Logan Glacier,"48.6019264",MT,"30"
Flathead,"6217",Glacier,Lupfer Glacier,"48.4771884",MT,"30"
Glacier,"7323",Glacier,Miche Wabun Glacier,"48.9456276",MT,"30"
Glacier,"7155",Glacier,North Swiftcurrent Glacier,"48.7880811",MT,"30"
Glacier,"8796",Glacier,Old Sun Glacier,"48.8716161",MT,"30"
Glacier,"8264",Glacier,Piegan Glacier,"48.7075522",MT,"30"
Glacier,"7116",Glacier,Red Eagle Glacier,"48.5921299",MT,"30"
Glacier,"7241",Glacier,Sexton Glacier,"48.7009737",MT,"30"
Glacier,"7562",Glacier,Shepard Glacier,"48.8654606",MT,"30"
Glacier,"6752",Glacier,Siyeh Glacier,"48.7333356",MT,"30"
Glacier,"7260",Glacier,Swiftcurrent Glacier,"48.76858",MT,"30"
Glacier,"7221",Glacier,The Salamander Glacier,"48.7572432",MT,"30"
Glacier,"7077",Glacier,Thunderbird Glacier,"48.9350369",MT,"30"
Flathead,"8556",Glacier,Two Ocean Glacier,"48.8377275",MT,"30"
Flathead,"8494",Glacier,Vulture Glacier,"48.8249627",MT,"30"
Flathead,"7165",Glacier,Weasel Collar Glacier,"48.894726",MT,"30"
Glacier,"6834",Glacier,Whitecrow Glacier,"48.9180499",MT,"30"
Carbon,"10679",Glacier,Beartooth Glacier,"45.0651964",MT,"30"
Lincoln,"6867",Glacier,Blackwell Glacier,"48.2296699",MT,"30"
Carbon,"11434",Glacier,Castle Rock Glacier,"45.090954",MT,"30"
Missoula,"7913",Glacier,Fissure Glacier,"47.3124324",MT,"30"
Park,"11309",Glacier,Granite Glacier,"45.1656946",MT,"30"
Flathead,"7940",Glacier,Grant Glacier,"48.3232971",MT,"30"
Carbon,"10597",Glacier,Grasshopper Glacier,"45.0500393",MT,"30"
Park,"10581",Glacier,Grasshopper Glacier,"45.1343033",MT,"30"
Park,"9665",Glacier,Grasshopper Glacier,"46.0349394",MT,"30"
Missoula,"7907",Glacier,Gray Wolf Glacier,"47.2910434",MT,"30"
Park,"10344",Glacier,Hidden Glacier,"45.152438",MT,"30"
Carbon,"10745",Glacier,Hopper Glacier,"45.0812139",MT,"30"
Lake,"8458",Glacier,McDonald Glacier,"47.3868774",MT,"30"
Missoula,"8067",Glacier,Mountaineer Glacier,"47.3424328",MT,"30"
Carbon,"10295",Glacier,Phantom Glacier,"45.1544603",MT,"30"
Park,"11289",Glacier,Sky Top Glacier,"45.1610567",MT,"30"
Carbon,"11033",Glacier,Snowbank Glacier,"45.093135",MT,"30"
Flathead,"8022",Glacier,Sperry Glacier,"48.6230273",MT,"30"
Flathead,"8294",Glacier,Stanton Glacier,"48.3369085",MT,"30"
Carbon,"11102",Glacier,Sundance Glacier,"45.0995773",MT,"30"
Missoula,"8471",Glacier,Sunrise Glacier,"47.3571551",MT,"30"
Flathead,"8031",Glacier,Swan Glaciers,"47.7252186",MT,"30"
Park,"10794",Glacier,Wolf Glacier,"45.1515494",MT,"30"
